Number,Reference ID,Tube Diameter (m),Heated Length (m),Pressure (kPa),Mass Flux (kg/m^2/s),Outlet Quality,Inlet Subcooling (kJ/kg),Inlet Temperature (degreeC ),CHF (kW/m^2),Reference name
4444,14,0.0151,4.019,4992.0,1150.0,0.598,98.07,244.88,1154.0,Peterlongo et al 1966
4445,14,0.0151,4.018,4992.0,1130.0,0.603,93.171,245.89,1141.0,Peterlongo et al 1966
4446,14,0.0151,4.017,4992.0,1100.0,0.595,176.549,228.23,1186.0,Peterlongo et al 1966
4447,14,0.0151,4.018,4992.0,1070.0,0.608,173.28,228.93,1173.0,Peterlongo et al 1966
4448,14,0.0151,4.017,4992.0,1100.0,0.574,237.668,214.11,1207.0,Peterlongo et al 1966
4449,14,0.0151,4.017,4992.0,1070.0,0.59,248.519,212.52,1221.0,Peterlongo et al 1966
4450,14,0.0151,4.019,5011.0,1180.0,0.54,362.593,187.37,1379.0,Peterlongo et al 1966
4451,14,0.0151,4.018,5011.0,1190.0,0.532,364.211,187.02,1381.0,Peterlongo et al 1966
4452,14,0.0151,4.019,5001.0,1190.0,0.532,415.003,175.33,1424.0,Peterlongo et al 1966
4453,14,0.0151,4.019,4992.0,1200.0,0.544,369.398,185.59,1402.0,Peterlongo et al 1966
4454,14,0.0151,4.019,4992.0,1190.0,0.52,369.461,185.52,1347.0,Peterlongo et al 1966
4455,14,0.0151,4.016,4992.0,1190.0,0.532,367.826,185.89,1352.0,Peterlongo et al 1966
4456,14,0.0151,4.019,4992.0,1130.0,0.593,96.432,245.24,1122.0,Peterlongo et al 1966
4457,14,0.0151,4.016,4992.0,1130.0,0.579,94.797,245.58,1098.0,Peterlongo et al 1966
4458,14,0.0151,4.018,4992.0,1100.0,0.592,93.175,245.87,1084.0,Peterlongo et al 1966
4459,14,0.0151,4.018,4992.0,1090.0,0.598,88.278,246.87,1084.0,Peterlongo et al 1966
4460,14,0.0151,4.018,4992.0,1090.0,0.596,-83.36,264.83,906.0,Peterlongo et al 1966
4461,14,0.0151,4.016,4992.0,1100.0,0.592,-83.363,264.82,908.0,Peterlongo et al 1966
4462,14,0.0151,4.017,4992.0,1080.0,0.606,-11.442,264.82,986.0,Peterlongo et al 1966
4463,14,0.0151,4.016,4992.0,1090.0,0.596,-14.712,264.8,971.0,Peterlongo et al 1966
4464,14,0.0151,4.018,4992.0,1520.0,0.5,93.08,246.2,1265.0,Peterlongo et al 1966
4465,14,0.0151,4.019,4992.0,1510.0,0.486,91.443,246.55,1251.0,Peterlongo et al 1966
4466,14,0.0151,4.018,4992.0,1510.0,0.458,205.782,222.2,1343.0,Peterlongo et al 1966
4467,14,0.0151,4.018,4992.0,1510.0,0.457,205.773,222.22,1339.0,Peterlongo et al 1966
4468,14,0.0151,4.018,5011.0,1600.0,0.453,218.631,219.72,1478.0,Peterlongo et al 1966
4469,14,0.0151,4.018,5001.0,1540.0,0.462,254.668,211.65,1451.0,Peterlongo et al 1966
4470,14,0.0151,4.017,5001.0,1520.0,0.445,352.677,189.72,1536.0,Peterlongo et al 1966
4471,14,0.0151,4.019,5011.0,1510.0,0.456,345.996,191.37,1541.0,Peterlongo et al 1966
4472,14,0.0151,4.017,4992.0,1480.0,0.489,-78.373,265.13,987.0,Peterlongo et al 1966
4473,14,0.0151,4.018,4992.0,1490.0,0.496,-79.996,265.17,1013.0,Peterlongo et al 1966
4474,14,0.0151,4.017,4992.0,1490.0,0.489,6.531,263.84,1113.0,Peterlongo et al 1966
4475,14,0.0151,4.018,4992.0,1490.0,0.491,4.898,264.17,1115.0,Peterlongo et al 1966
4476,14,0.0151,4.017,4992.0,2240.0,0.377,96.146,246.18,1482.0,Peterlongo et al 1966
4477,14,0.0151,4.016,4992.0,2210.0,0.381,96.158,246.14,1478.0,Peterlongo et al 1966
4478,14,0.0151,4.018,4982.0,2210.0,0.37,141.89,236.33,1535.0,Peterlongo et al 1966
4479,14,0.0151,4.019,4982.0,2240.0,0.371,138.617,237.05,1552.0,Peterlongo et al 1966
4480,14,0.0151,4.017,4982.0,2280.0,0.342,277.327,206.86,1773.0,Peterlongo et al 1966
4481,14,0.0151,4.017,4992.0,2280.0,0.337,285.349,205.23,1772.0,Peterlongo et al 1966
4482,14,0.0151,4.019,4992.0,2360.0,0.309,386.574,182.36,1954.0,Peterlongo et al 1966
4483,14,0.0151,4.017,4992.0,2360.0,0.311,386.574,182.36,1963.0,Peterlongo et al 1966
4484,14,0.0151,4.017,5001.0,2270.0,0.371,89.589,247.67,1464.0,Peterlongo et al 1966
4485,14,0.0151,4.018,5001.0,2280.0,0.371,89.589,247.67,1468.0,Peterlongo et al 1966
4486,14,0.0151,4.019,4992.0,2270.0,0.37,92.895,246.83,1463.0,Peterlongo et al 1966
4487,14,0.0151,4.018,5001.0,2260.0,0.37,92.859,246.95,1459.0,Peterlongo et al 1966
4488,14,0.0151,4.017,4992.0,2280.0,0.369,96.154,246.15,1474.0,Peterlongo et al 1966
4489,14,0.0151,4.018,4992.0,2280.0,0.369,96.138,246.2,1478.0,Peterlongo et al 1966
4490,14,0.0151,4.017,4992.0,2240.0,0.365,158.131,233.01,1566.0,Peterlongo et al 1966
4491,14,0.0151,4.017,4992.0,2240.0,0.364,154.871,233.71,1557.0,Peterlongo et al 1966
4492,14,0.0151,4.018,5001.0,2240.0,0.366,174.373,229.65,1604.0,Peterlongo et al 1966
4493,14,0.0151,4.008,5001.0,2240.0,0.361,171.114,230.34,1584.0,Peterlongo et al 1966
4494,14,0.0151,4.018,4992.0,2220.0,0.348,239.723,215.26,1664.0,Peterlongo et al 1966
4495,14,0.0151,4.018,4992.0,2220.0,0.35,242.985,214.54,1678.0,Peterlongo et al 1966
4496,14,0.0151,4.019,5041.0,2270.0,0.343,260.361,211.4,1722.0,Peterlongo et al 1966
4497,14,0.0151,4.019,5021.0,2250.0,0.348,258.957,211.44,1722.0,Peterlongo et al 1966
4498,14,0.0151,4.018,4992.0,2290.0,0.316,381.697,183.45,1906.0,Peterlongo et al 1966
4499,14,0.0151,4.017,4992.0,2290.0,0.312,384.96,182.71,1899.0,Peterlongo et al 1966
4500,14,0.0151,4.017,4992.0,2280.0,0.315,352.351,190.09,1833.0,Peterlongo et al 1966
4501,14,0.0151,4.018,4992.0,2280.0,0.319,352.351,190.09,1845.0,Peterlongo et al 1966
4502,14,0.0151,4.017,4992.0,2250.0,0.319,381.73,183.42,1883.0,Peterlongo et al 1966
4503,14,0.0151,4.016,4992.0,2210.0,0.379,22.812,261.17,1310.0,Peterlongo et al 1966
4504,14,0.0151,4.017,4992.0,2210.0,0.382,22.813,261.16,1312.0,Peterlongo et al 1966
4505,14,0.0151,4.019,4992.0,2190.0,0.39,-42.362,265.73,1196.0,Peterlongo et al 1966
4506,14,0.0151,4.017,4992.0,2180.0,0.39,-47.25,265.73,1194.0,Peterlongo et al 1966
4507,14,0.0151,4.019,4992.0,3020.0,0.315,76.436,250.85,1647.0,Peterlongo et al 1966
4508,14,0.0151,4.018,4992.0,3020.0,0.32,73.165,251.6,1663.0,Peterlongo et al 1966
4509,14,0.0151,4.018,4992.0,3050.0,0.299,172.453,230.57,1864.0,Peterlongo et al 1966
4510,14,0.0151,4.017,5050.0,3120.0,0.265,261.444,211.81,2005.0,Peterlongo et al 1966
4511,14,0.0151,4.017,5001.0,3050.0,0.267,266.935,209.87,1980.0,Peterlongo et al 1966
4512,14,0.0151,4.018,4992.0,3080.0,0.234,384.617,183.08,2158.0,Peterlongo et al 1966
4513,14,0.0151,4.017,4992.0,2970.0,0.32,27.633,260.91,1494.0,Peterlongo et al 1966
4514,14,0.0151,4.019,4992.0,3000.0,0.308,27.629,260.94,1507.0,Peterlongo et al 1966
4515,14,0.0151,4.017,4992.0,3030.0,0.327,-42.234,266.59,1353.0,Peterlongo et al 1966
4516,14,0.0151,4.017,4992.0,3020.0,0.327,-42.235,266.58,1348.0,Peterlongo et al 1966
4517,14,0.0151,4.017,4992.0,3870.0,0.269,90.826,248.67,1872.0,Peterlongo et al 1966
4518,14,0.0151,4.016,4992.0,3830.0,0.271,89.223,248.94,1848.0,Peterlongo et al 1966
4519,14,0.0151,4.018,4992.0,3850.0,0.27,89.212,248.98,1845.0,Peterlongo et al 1966
4520,14,0.0151,4.019,4992.0,3830.0,0.269,89.212,248.98,1837.0,Peterlongo et al 1966
4521,14,0.0151,4.018,4992.0,3880.0,0.269,95.716,247.59,1881.0,Peterlongo et al 1966
4522,14,0.0151,4.017,4992.0,3870.0,0.273,94.078,247.98,1894.0,Peterlongo et al 1966
4523,14,0.0151,4.017,4992.0,3890.0,0.242,177.019,230.13,2028.0,Peterlongo et al 1966
4524,14,0.0151,4.018,4992.0,3870.0,0.246,168.87,231.93,2009.0,Peterlongo et al 1966
4525,14,0.0151,4.017,4992.0,3850.0,0.217,248.749,214.23,2124.0,Peterlongo et al 1966
4526,14,0.0151,4.018,4992.0,3860.0,0.217,252.011,213.5,2136.0,Peterlongo et al 1966
4527,14,0.0151,4.018,5001.0,3900.0,0.15,384.305,183.41,2259.0,Peterlongo et al 1966
4528,14,0.0151,4.018,4992.0,3900.0,0.149,386.215,182.74,2259.0,Peterlongo et al 1966
4529,14,0.0151,4.017,4992.0,3940.0,0.145,389.408,182.07,2257.0,Peterlongo et al 1966
4530,14,0.0151,4.017,4992.0,3890.0,0.147,392.666,181.33,2257.0,Peterlongo et al 1966
4531,14,0.0151,4.018,4992.0,3810.0,0.285,22.686,262.77,1678.0,Peterlongo et al 1966
4532,14,0.0151,4.018,4992.0,3800.0,0.287,19.446,263.41,1671.0,Peterlongo et al 1966
4533,14,0.0151,4.019,6463.0,1100.0,0.512,158.234,249.67,974.0,Peterlongo et al 1966
4534,14,0.0151,4.017,6463.0,1090.0,0.509,150.559,251.25,951.0,Peterlongo et al 1966
4535,14,0.0151,4.015,6463.0,1100.0,0.531,73.743,266.78,914.0,Peterlongo et al 1966
4536,14,0.0151,4.016,6463.0,1100.0,0.534,73.737,266.8,919.0,Peterlongo et al 1966
4537,14,0.0151,4.019,6453.0,1100.0,0.501,216.705,237.31,1017.0,Peterlongo et al 1966
4538,14,0.0151,4.018,6463.0,1100.0,0.495,251.946,229.9,1043.0,Peterlongo et al 1966
4539,14,0.0151,4.019,6463.0,1490.0,0.401,153.529,250.81,1068.0,Peterlongo et al 1966
4540,14,0.0151,4.017,6463.0,1480.0,0.402,152.0,251.11,1061.0,Peterlongo et al 1966
4541,14,0.0151,4.021,6443.0,1510.0,0.427,62.993,268.89,1015.0,Peterlongo et al 1966
4542,14,0.0151,4.019,6433.0,1490.0,0.436,59.943,269.39,1017.0,Peterlongo et al 1966
4543,14,0.0151,4.016,6463.0,1490.0,0.399,211.888,238.59,1149.0,Peterlongo et al 1966
4544,14,0.0151,4.016,6463.0,1490.0,0.401,218.011,237.31,1162.0,Peterlongo et al 1966
4545,14,0.0151,4.018,6541.0,2090.0,0.339,61.12,270.61,1131.0,Peterlongo et al 1966
4546,14,0.0151,4.017,6551.0,2170.0,0.343,64.152,270.11,1176.0,Peterlongo et al 1966
4547,14,0.0151,4.018,6531.0,2270.0,0.294,166.68,249.12,1301.0,Peterlongo et al 1966
4548,14,0.0151,4.019,6463.0,2190.0,0.322,151.803,251.49,1315.0,Peterlongo et al 1966
4549,14,0.0151,4.018,6453.0,2190.0,0.309,207.145,239.76,1393.0,Peterlongo et al 1966
4550,14,0.0151,4.017,6443.0,2190.0,0.309,207.216,239.66,1396.0,Peterlongo et al 1966
4551,14,0.0151,4.014,6472.0,2990.0,0.269,78.054,266.88,1359.0,Peterlongo et al 1966
4552,14,0.0151,4.016,6472.0,2990.0,0.271,74.993,267.48,1360.0,Peterlongo et al 1966
4553,14,0.0151,4.013,6482.0,3740.0,0.224,85.573,265.77,1482.0,Peterlongo et al 1966
4554,14,0.0151,4.014,6463.0,3780.0,0.223,81.047,266.49,1471.0,Peterlongo et al 1966
4555,14,0.0151,3.964,6443.0,1110.0,0.498,290.601,221.3,1113.0,Peterlongo et al 1966
4556,14,0.0151,3.964,6453.0,1100.0,0.567,-9.221,280.97,902.0,Peterlongo et al 1966
4557,14,0.0151,3.964,6414.0,1080.0,0.581,-26.169,280.57,895.0,Peterlongo et al 1966
4558,14,0.0151,3.961,6404.0,1500.0,0.451,-13.85,280.64,966.0,Peterlongo et al 1966
4559,14,0.0151,3.964,6404.0,1500.0,0.451,-16.928,280.64,963.0,Peterlongo et al 1966
4560,14,0.0151,3.963,6443.0,2220.0,0.298,219.523,237.02,1424.0,Peterlongo et al 1966
4561,14,0.0151,3.962,6443.0,2200.0,0.263,311.669,217.1,1495.0,Peterlongo et al 1966
4562,14,0.0151,3.962,6443.0,2230.0,0.258,313.218,216.75,1502.0,Peterlongo et al 1966
4563,14,0.0151,3.962,6394.0,2200.0,0.354,-9.225,280.87,1155.0,Peterlongo et al 1966
4564,14,0.0151,3.961,6453.0,3030.0,0.213,229.833,235.33,1590.0,Peterlongo et al 1966
4565,14,0.0151,3.961,6443.0,3030.0,0.215,226.866,235.85,1590.0,Peterlongo et al 1966
4566,14,0.0151,3.962,6463.0,3040.0,0.163,305.101,218.92,1596.0,Peterlongo et al 1966
4567,14,0.0151,3.962,6492.0,3040.0,0.166,306.267,218.99,1600.0,Peterlongo et al 1966
4568,14,0.0151,3.962,6423.0,3040.0,0.285,30.662,275.71,1343.0,Peterlongo et al 1966
4569,14,0.0151,3.963,6423.0,3040.0,0.287,30.661,275.72,1351.0,Peterlongo et al 1966
4570,14,0.0151,3.962,6443.0,3840.0,0.185,153.178,251.47,1574.0,Peterlongo et al 1966
4571,14,0.0151,3.962,6433.0,3830.0,0.194,139.434,254.22,1574.0,Peterlongo et al 1966
4572,14,0.0151,3.964,6443.0,3820.0,0.145,223.828,236.46,1604.0,Peterlongo et al 1966
4573,14,0.0151,3.963,6472.0,3720.0,0.15,225.082,236.52,1592.0,Peterlongo et al 1966
4574,14,0.0151,3.963,6482.0,3850.0,0.109,297.045,221.03,1686.0,Peterlongo et al 1966
4575,14,0.0151,3.962,6482.0,3850.0,0.109,306.257,219.0,1717.0,Peterlongo et al 1966
4576,14,0.0151,3.962,6443.0,3850.0,0.234,30.598,276.22,1451.0,Peterlongo et al 1966
4577,14,0.0151,3.179,4982.0,1090.0,0.583,83.403,247.77,1327.0,Peterlongo et al 1966
4578,14,0.0151,3.178,5001.0,1140.0,0.559,84.961,247.72,1345.0,Peterlongo et al 1966
4579,14,0.0151,3.178,5001.0,1150.0,0.573,153.597,233.27,1425.0,Peterlongo et al 1966
4580,14,0.0151,3.177,4992.0,1100.0,0.567,168.383,229.97,1418.0,Peterlongo et al 1966
4581,14,0.0151,3.178,5011.0,1190.0,0.536,230.276,216.87,1547.0,Peterlongo et al 1966
4582,14,0.0151,3.178,4992.0,1110.0,0.564,228.85,216.9,1511.0,Peterlongo et al 1966
4583,14,0.0151,3.178,4992.0,1120.0,0.513,379.286,183.28,1616.0,Peterlongo et al 1966
4584,14,0.0151,3.178,5001.0,1120.0,0.507,390.578,180.83,1616.0,Peterlongo et al 1966
4585,14,0.0151,3.164,4982.0,1090.0,0.593,13.082,262.09,1262.0,Peterlongo et al 1966
4586,14,0.0151,3.164,4982.0,1090.0,0.596,13.082,262.09,1268.0,Peterlongo et al 1966
4587,14,0.0151,3.163,4992.0,1130.0,0.573,-65.375,264.85,1173.0,Peterlongo et al 1966
4588,14,0.0151,3.165,4992.0,1130.0,0.582,-65.375,264.85,1193.0,Peterlongo et al 1966
4589,14,0.0151,3.178,4992.0,1540.0,0.463,80.006,248.94,1515.0,Peterlongo et al 1966
4590,14,0.0151,3.177,5001.0,1540.0,0.458,78.349,249.38,1498.0,Peterlongo et al 1966
4591,14,0.0151,3.178,4992.0,1510.0,0.454,163.312,231.36,1609.0,Peterlongo et al 1966
4592,14,0.0151,3.178,4992.0,1530.0,0.444,235.179,215.79,1728.0,Peterlongo et al 1966
4593,14,0.0151,3.177,4992.0,1520.0,0.446,235.189,215.78,1721.0,Peterlongo et al 1966
4594,14,0.0151,3.179,5011.0,1550.0,0.409,381.95,183.18,1918.0,Peterlongo et al 1966
4595,14,0.0151,3.178,5011.0,1540.0,0.41,385.214,182.44,1907.0,Peterlongo et al 1966
4596,14,0.0151,3.164,4992.0,1520.0,0.475,-3.265,265.18,1397.0,Peterlongo et al 1966
4597,14,0.0151,3.165,4992.0,1520.0,0.48,-3.265,265.18,1412.0,Peterlongo et al 1966
4598,14,0.0151,3.164,5001.0,1530.0,0.476,-57.115,265.29,1305.0,Peterlongo et al 1966
4599,14,0.0151,3.163,4992.0,1520.0,0.479,-58.77,265.18,1309.0,Peterlongo et al 1966
4600,14,0.0151,3.178,5001.0,2260.0,0.354,87.986,247.91,1747.0,Peterlongo et al 1966
4601,14,0.0151,3.179,4992.0,2260.0,0.35,92.911,246.77,1750.0,Peterlongo et al 1966
4602,14,0.0151,3.178,4992.0,2230.0,0.341,167.941,230.87,1895.0,Peterlongo et al 1966
4603,14,0.0151,3.178,4992.0,2220.0,0.345,166.317,231.2,1895.0,Peterlongo et al 1966
4604,14,0.0151,3.179,5001.0,2220.0,0.329,228.248,217.85,1986.0,Peterlongo et al 1966
4605,14,0.0151,3.178,4992.0,2220.0,0.329,238.123,215.57,2011.0,Peterlongo et al 1966
4606,14,0.0151,3.178,4992.0,2240.0,0.284,376.963,184.39,2205.0,Peterlongo et al 1966
4607,14,0.0151,3.178,4992.0,2240.0,0.282,373.699,185.13,2192.0,Peterlongo et al 1966
4608,14,0.0151,3.165,4992.0,2220.0,0.368,-1.629,265.73,1578.0,Peterlongo et al 1966
4609,14,0.0151,3.164,4992.0,2220.0,0.367,-1.629,265.73,1573.0,Peterlongo et al 1966
4610,14,0.0151,3.164,5011.0,2260.0,0.37,-53.712,266.03,1469.0,Peterlongo et al 1966
4611,14,0.0151,3.166,5021.0,2260.0,0.372,-52.062,266.15,1488.0,Peterlongo et al 1966
4612,14,0.0151,3.177,5011.0,3060.0,0.26,174.047,230.28,2118.0,Peterlongo et al 1966
